"","pathwayName","fc","adj_pval","logQ","threshold"
"1","KEGG_ABC_TRANSPORTERS",0.494262501068215,0.947087693040882,0.0236098068039798,"cond3"
"2","KEGG_ACUTE_MYELOID_LEUKEMIA",0.36924423813175,0.947087693040882,0.0236098068039798,"cond3"
"3","KEGG_ADHERENS_JUNCTION",0.226529765042206,0.947087693040882,0.0236098068039798,"cond3"
"4","KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY",0.393989806055668,0.947087693040882,0.0236098068039798,"cond3"
"5","KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM",0.991590873395608,0.930647426543033,0.031214819241926,"cond3"
"6","KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION",0.129536586371221,0.959719824845108,0.0178555339219695,"cond3"
"7","KEGG_ALLOGRAFT_REJECTION",0.977412172505792,0.898548462097342,0.0464584947888639,"cond3"
"8","KEGG_ALPHA_LINOLENIC_ACID_METABOLISM",0.806541168874574,0.947087693040882,0.0236098068039798,"cond3"
"9","KEGG_ALZHEIMERS_DISEASE",-0.0614442530106781,0.959719824845108,0.0178555339219695,"cond3"
"10","KEGG_AMINOACYL_TRNA_BIOSYNTHESIS",1.33820216493309,0.566152264591161,0.247066751181808,"cond3"
"11","KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM",-0.0243872912825755,0.990347872916225,0.00421222686658732,"cond3"
"12","KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS",-0.134156887099457,0.959719824845108,0.0178555339219695,"cond3"
"13","KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION",0.393830846194211,0.947087693040882,0.0236098068039798,"cond3"
"14","KEGG_APOPTOSIS",0.132366598309256,0.949565718874577,0.0224749726258599,"cond3"
"15","KEGG_ARACHIDONIC_ACID_METABOLISM",0.55500837455093,0.947087693040882,0.0236098068039798,"cond3"
"16","KEGG_ARGININE_AND_PROLINE_METABOLISM",0.550810912065952,0.947087693040882,0.0236098068039798,"cond3"
"17","KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC",0.0812252388410312,0.969718079015227,0.0133545075110593,"cond3"
"18","KEGG_ASCORBATE_AND_ALDARATE_METABOLISM",0.773791637870438,0.947087693040882,0.0236098068039798,"cond3"
"19","KEGG_ASTHMA",0.810946982430209,0.947087693040882,0.0236098068039798,"cond3"
"20","KEGG_AUTOIMMUNE_THYROID_DISEASE",0.6776269893261,0.930647426543033,0.031214819241926,"cond3"
"21","KEGG_AXON_GUIDANCE",0.426079686071154,0.930647426543033,0.031214819241926,"cond3"
"22","KEGG_BASAL_CELL_CARCINOMA",-0.20224817983912,0.949565718874577,0.0224749726258599,"cond3"
"23","KEGG_BASAL_TRANSCRIPTION_FACTORS",0.252029608203943,0.949565718874577,0.0224749726258599,"cond3"
"24","KEGG_BASE_EXCISION_REPAIR",0.828957572736625,0.930647426543033,0.031214819241926,"cond3"
"25","KEGG_BETA_ALANINE_METABOLISM",0.433822856369161,0.947087693040882,0.0236098068039798,"cond3"
"26","KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS",-1.08566838164378,0.947087693040882,0.0236098068039798,"cond3"
"27","KEGG_BLADDER_CANCER",1.00489403445927,0.898548462097342,0.0464584947888639,"cond3"
"28","KEGG_BUTANOATE_METABOLISM",1.31055574865604,0.898548462097342,0.0464584947888639,"cond3"
"29","KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY",0.717681440194649,0.898548462097342,0.0464584947888639,"cond3"
"30","KEGG_CALCIUM_SIGNALING_PATHWAY",0.177250883594479,0.947087693040882,0.0236098068039798,"cond3"
"31","KEGG_CARDIAC_MUSCLE_CONTRACTION",-0.536066641398234,0.947087693040882,0.0236098068039798,"cond3"
"32","KEGG_CELL_ADHESION_MOLECULES_CAMS",0.344525750738672,0.947087693040882,0.0236098068039798,"cond3"
"33","KEGG_CELL_CYCLE",0.694489845673544,0.898548462097342,0.0464584947888639,"cond3"
"34","KEGG_CHEMOKINE_SIGNALING_PATHWAY",0.510659971780644,0.898548462097342,0.0464584947888639,"cond3"
"35","KEGG_CHRONIC_MYELOID_LEUKEMIA",0.555653487435297,0.947087693040882,0.0236098068039798,"cond3"
"36","KEGG_CIRCADIAN_RHYTHM_MAMMAL",0.336535810661809,0.949565718874577,0.0224749726258599,"cond3"
"37","KEGG_CITRATE_CYCLE_TCA_CYCLE",0.580793515400564,0.947087693040882,0.0236098068039798,"cond3"
"38","KEGG_COLORECTAL_CANCER",-0.0817716069207315,0.969718079015227,0.0133545075110593,"cond3"
"39","KEGG_COMPLEMENT_AND_COAGULATION_CASCADES",-0.128003816224582,0.959719824845108,0.0178555339219695,"cond3"
"40","KEGG_CYSTEINE_AND_METHIONINE_METABOLISM",0.105403611674209,0.978189689658832,0.00957691905294325,"cond3"
"41","KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION",1.16195209349469,0.0287734154035198,1.54100858430831,"cond1"
"42","KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY",0.49027887160306,0.947087693040882,0.0236098068039798,"cond3"
"43","KEGG_DILATED_CARDIOMYOPATHY",-0.0973185945521157,0.959719824845108,0.0178555339219695,"cond3"
"44","KEGG_DNA_REPLICATION",1.0971781111167,0.898548462097342,0.0464584947888639,"cond3"
"45","KEGG_DORSO_VENTRAL_AXIS_FORMATION",0.449962242007549,0.947087693040882,0.0236098068039798,"cond3"
"46","KEGG_DRUG_METABOLISM_CYTOCHROME_P450",-0.0486929442453794,0.990347872916225,0.00421222686658732,"cond3"
"47","KEGG_DRUG_METABOLISM_OTHER_ENZYMES",-0.661367207132569,0.947087693040882,0.0236098068039798,"cond3"
"48","KEGG_ECM_RECEPTOR_INTERACTION",0.0393575249027537,0.990347872916225,0.00421222686658732,"cond3"
"49","KEGG_ENDOCYTOSIS",0.24522891811211,0.947087693040882,0.0236098068039798,"cond3"
"50","KEGG_ENDOMETRIAL_CANCER",-0.340970816483843,0.947087693040882,0.0236098068039798,"cond3"
"51","KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION",0.752580382179349,0.898548462097342,0.0464584947888639,"cond3"
"52","KEGG_ERBB_SIGNALING_PATHWAY",0.279645657109002,0.947087693040882,0.0236098068039798,"cond3"
"53","KEGG_ETHER_LIPID_METABOLISM",0.474882577440946,0.947087693040882,0.0236098068039798,"cond3"
"54","KEGG_FATTY_ACID_METABOLISM",1.23230819354058,0.898548462097342,0.0464584947888639,"cond3"
"55","KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY",0.39325256354157,0.947087693040882,0.0236098068039798,"cond3"
"56","KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS",-0.169907988533107,0.949565718874577,0.0224749726258599,"cond3"
